Input,Output,ImageName
how much did the online price of cough and cold medications increase in the uk?,10.7,two_col_22955.png
what is the only country in central and eastern europe where the rate of decline in exports promises to be single-digit?,Poland,two_col_82047.png
what was the gdp of colorado in 2020?,351.07,two_col_41424.png
what was colorado's gdp in dollars in the previous year?,356.28,two_col_41424.png
what was the estimated size of the security management segment in 2017?,612,two_col_40826.png
how many barrels of oil did iran produce per day as of june 2015?,2.8,two_col_102403.png
who was the shortest u.s. president in history?,James Madison,two_col_6072.png
who is the tallest u.s. president in history?,Abraham Lincoln,two_col_6072.png
how many passengers did spirit airlines carry in the previous year?,33.87,two_col_60546.png
how many passengers did spirit airlines carry in 2020?,18.31,two_col_60546.png
in what year did online sales make up 17.5% of electricals and electronics sales in germany?,2013,multi_col_20921.png
what is the predicted increase in online sales of electricals and electronics by 2018?,23.2,multi_col_20921.png
what store did more hungarians choose for online grocery shopping in the next month?,Tesco,two_col_23856.png
what was the net interest income of the british barclays group in 2014?,10086,two_col_61441.png
what was the global group net interest income of the barclays group in 2020?,8122,two_col_61441.png
what was the average annual expenditure on chocolate bars in canada in 2019?,88,two_col_101703.png
how much of the italian car market does the f-segment hold?,0.3,two_col_21759.png
what percentage of italy's car market was small cars in the b-segment in 2020?,37.5,two_col_21759.png
what was the third most popular online retailer in the uk in 2014?,Argos,two_col_81910.png
which airline was boeing's largest customer in 2020?,Ryanair,two_col_3164.png
when did the birth rate in latin america and the caribbean begin to decline?,2005,two_col_4518.png
what was the forecast decline in business travel spending in russia in 2014?,5.4,multi_col_60078.png
what was the average ev/r of companies in the classifieds segment?,11.4,two_col_80745.png
when was the last time a youth or young adult used cannabis in colorado?,2009-2012,multi_col_101044.png
what was the poverty headcount ratio at national poverty lines in kazakhstan in 2017?,2.5,two_col_103795.png
what was barbados' gender pay gap index score in 2021?,0.87,two_col_3777.png
"in 2045, how many barrels of gasoline is expected to be consumed per day?",27.6,multi_col_20013.png
what was the best midsize-ship cruise line according to cond nast traveler readers?,Crystal Ocean Cruises,two_col_41058.png
how many passengers did american airlines have in 2019?,215.2,two_col_1855.png
what will the global gasoline demand amount to between 2019 and 2025?,0.5,two_col_40905.png
what was the sales of the richemont group's leather goods line in fy2020?,1415,multi_col_60299.png
in what year did online sales make up 16.8 percent of retail sales of sports and leisure equipment?,2013,multi_col_40883.png
what is the predicted increase in online sales of sports and leisure equipment by 2018?,24.1,multi_col_40883.png
how many indian rupees did itc make in its cigarette segment in fiscal year 2019?,154.12,two_col_101954.png
who has hit the most home runs in colorado rockies franchise history?,Todd Helton,two_col_4496.png
"for 2020, dram capital spending worldwide is forecast to decline to what amount of u.s. dollars?",15.1,two_col_80980.png
how much money did the commercial cyber security segment generate in 2017?,349,multi_col_101011.png
how much barley did argentina produce in 2019/20?,3.83,two_col_3559.png
what was the operating costs of unitedhealth group in the segment of medical costs in 2020?,159396,multi_col_80510.png
in what year did energy consumption in the u.s. commercial sector decline?,2020,two_col_104550.png
what was the length of the network in 2014?,8.3,two_col_63430.png
what was the length of the network in 2018?,16.4,two_col_63430.png
what was the share of customers able to track orders of online retail purchases in the uk in the previous year?,37.1,two_col_101529.png
which cruise line ranked 9.7 on yougov's brandindex?,Norwegian Cruise Lines,two_col_42133.png
what year was online retail sales measured in germany?,2013,two_col_21422.png
what was the value of online sales in germany in 2013?,25,two_col_21422.png
what was online sales expected to grow to in 2018?,41,two_col_21422.png
when would the russian working age population begin to decline?,2034,multi_col_80750.png
how many fixed telephone lines were there in france in the first quarter of 2017?,36.87,two_col_103785.png
what was the revenue of the lvmh group's fashion and leather goods segment in 2020?,21207,two_col_40696.png
what percentage of indonesian internet users spent at least 3 hours online per day in 2013?,42.49,two_col_63015.png
how many gallons of gasoline were sold in minnesota in january 2010?,200366753,two_col_62155.png
how many gallons of gasoline were sold in january 2011?,203357828,two_col_62155.png
how much was fc barcelona's budget?,382.7,two_col_1449.png
how many people in berlin frequented online dating sites in 2013?,157.1,two_col_82080.png
how many people died in lombardy in 2020?,136249,two_col_311.png
how many apps were downloaded from the line game app store between december 2012 and november 2014?,470,two_col_60915.png
how many apps were downloaded from line's gaming platform in march 2014?,300,two_col_60915.png
what was the estimated pc online games revenue for malaysia in 2014?,66.5,two_col_21803.png
how many korean won did online shoppers spend on travel purchases in 2015?,10,multi_col_80124.png
are the lines diverging?,Yes,34.png
what's the color of the graph whose lowest value is 31?,Blue,4612.png
in which year the value of red bar dip?,2014,6361.png
when does the satisfied line reach the peak?,2012,6530.png
blue line represent which country?,U.S.,6772.png
what's the value of green bar in 2017?,34,6905.png
what does the yellow line represent?,Unfavorable,7665.png
which line is always above the other?,Bad,8120.png
what does the green line represent?,EU 5-country median,8777.png
what's the color of smallest slice in chart?,Orange,1030.png
what's the total of add up value of largest slice and smallest slice value in the chart?,53,1030.png
what does green line indicates?,Democratic form of gov't,11758.png
is the median of values on green line greater than the median of values on orange line?,Yes,11758.png
"on the basis of graph, when the value of green line lowest?",2014,11760.png
what does grey segment represents?,As important and powerful role as 10 years ago,12020.png
which opinion is indicated by green line in the given graph?,Favorable,12320.png
which line represents romney?,Red,15829.png
which party does red segment represent?,Republican Party,16263.png
when does the line of favor reach the peak?,44295,17255.png
when does the gap between two lines reach the peak?,44295,17255.png
what is the ratio between the blue and the gray segments?,1.542361111,2782.png
is the value of largest segment greater than sum of other two?,Yes,2852.png
which color shows 8 percent in the pie segment?,Blue,532.png
what's the color of smallest segment of the graph?,gray,10943.png
what is the value of the largest segment?,50,11150.png
is the add up value of smallest and 2nd largest segment is equal to largest segment value?,No,11150.png
what color shows 8 % in the pie graph?,gray,11690.png
"what's the value of ""other ""segment?",4,12283.png
does the sum of all three smallest segments value is greater the the value of 2nd largest segment?,Yes,12283.png
what's the color of second largest segment?,Green,12722.png
what's the ratio of largest segment and second smallest segment?,0.250694444,12722.png
what color represent  don't know?,Orange,4359.png
what is the value of largest segment?,86,7710.png
is the largest segment is three times the value of smallest segment?,No,7710.png
what's the percentage value of segment whose color is darkest?,40,9198.png
how many segments have value above 30%?,2,9198.png
what is the color of the second largest pie?,Brown,9575.png
how many color are shown in the pie chart?,4,13774.png
what is the value of the smallest segment?,23,14101.png
is the add up value of smallest and 2nd largest segment is equal to largest segment value?,No,14101.png
is there only three segments in the pie chart?,Yes,14780.png
what's the ratio of two largest segment?,1,14780.png
in how many segment is the pie chart divided?,5,15947.png
what is the percentage in red segment?,0.17,17358.png
what is the color of don't know segment?,gray,18211.png
what is the difference between the two largest segments?,25,18211.png
what is the percentage for scientists bar?,60,7872.png
is the color of smallest bar green?,Yes,7944.png
is the median of navy blue bars greater than largest value of light blue bar?,Yes,7944.png
how many gray bars value exceed 50?,1,7946.png
"take median of green bars in kenya, multiply it by 2, is the result greater than median of orange bar in kenya?",Yes,8042.png
what is the color of the good time?,Blue,8182.png
what is the value of orange bar?,41.25,00268016000783.png
how many age groups are shown in the bar graph?,7,01200566001630.png
how many color are shown in the graph?,5,04482797005227.png
what is the value of largest segment?,1653.64,04533011003180.png
what is the sum of smallest bar and largest bar?,1765.49,04533011003180.png
what is the total add up weight of both the bars?,1.55,04960398003730.png
what's the value of longest bar?,49.03,05516045003357.png
what's the average of longest bar value and smallest bar value?,47.765,05516045003357.png
what's the value of largest bar?,0.18,06605156002432.png
what is the difference between the value of pink color to purple color?,24.89,07082838005745.png
what is the value the green bar?,247732.35,07143886006788.png
what is the difference between the largest bar and the second largest bar?,0.48,07143886006788.png
how many colors are represented in the bar?,3,07339205003459.png
find the median of all bar values separately?,64.41,07712434000343.png
which place has the highest value in the bar chart?,Israel,08501617009882.png
what is the ratio of norway and israel in the bar chart?,1.4747706422018347,08501617009882.png
is the sum value of lowest 2 bar is greater then the green bar in the graph?,Yes,08688106002770.png
which animal is represented by smallest bar?,Cattle,13438060002042.png
what's the value of smallest bar?,0.0241,14843149005580.png
does the smallest bar value is greater the the difference of largest two bars value?,Yes,14843149005580.png
which country has longest bar?,Timor,16823767005326.png
what's the average of smallest two bar?,1.345,16823767005326.png
what's the value of smallest bar?,62.22,16902888001203.png
what is the color of all bars?,Blue,17098927006493.png
what is the total tonnage for ukraine and barbados?,6235,17098927006493.png
what is the color of smallest bar?,Brown,20559489000721.png
what is the average of two bars?,84,20559489000721.png
how many color are shown in the chart?,3,22413620001316.png
what is the name of largest bar?,70+ years old,23326450006962.png
what is the sum of smallest two bars?,9.58,23326450006962.png
what is the value of middle bar?,71.1,23712011000876.png
is the average of smallest two bar is greater then the value of largest bar?,No,23712011000876.png
what is the color of bar that represents china?,Brown,23940851006052.png
what color does the england represent in the chart?,Purple,24497347006184.png
how many colors are represented in the bar??,5,25481403005418.png
what is the difference between the largest bar and the smallest bar??,17.36,25481403005418.png
how many bars are there in the graph?,4,27162063002465.png
doe the difference of 2nd largest and 2nd smallest bar is greater then the value of smallest bar?,Yes,27162063002465.png
is the average value of two uppermost bars equal to 0.25?,Yes,29537859004102.png
is the average value of two smallest bars more than 0.60 years?,Yes,30699546002290.png
which country represented by pink bar?,South Sudan,39947264017438.png
does the sum of smallest two bar is greater then the value of largest bar?,Yes,39947264017438.png
which country represented by brown bar?,Egypt,40350636009248.png
how many bars are there in the chart?,4,43692574000916.png
what is the difference between smallest two bars?,7,43692574000916.png
what does the grey bar represent?,Singapore,49668651006513.png
what is the highest value of the bar graph?,0.334,51070810006732.png
what's the value of yellow bar?,17,51092320006574.png
does the sum of smallest two bar is greater then then the value of 3rd largest bar?,No,51092320006574.png
does the sum of smallest two bar is smaller then the 3rd largest bar?,Yes,52383186004636.png
how many bars are there in the chart?,3,61762978006740.png
does the sum of smallest two bar is greater then the value of largest bar?,Yes,61762978006740.png
how many color bars are used in the graph?,8,65032629000853.png
does the sum of smallest two bar is greater then then the value of largest bar?,No,65032629000853.png
how manty bars are used in the graph?,2,66032284002450.png
what's the difference of both the bar?,69.78,66032284002450.png
when does the sum of values of all lines reach the peak?,2003,00881004009933.png
what line has the lowest track error?,24 hours,11366360004326.png
in what year the 72 hours line have the highest value?,1995,11366360004326.png
when does the green line reach the peak?,1992,20294671002016.png
how many lines reach the peak in 1990?,3,20294671002016.png
how many lines are included in the graph?,3,29035673000700.png
when does the line reach the peak?,1980,29435929004387.png
between which two years does the line have the sharpest increase?,"[1961, 1965]",29435929004387.png
what does the grey bar represent?,Burkina Faso,30214927004321.png
in which year you can see the change in the percentage in burkina faso bar?,1999,30214927004321.png
what air pollutant is represented by the red line?,Nitrogen oxides (NOx),32511750001843.png
which country is represented by the red color line?,Belarus,54920600008818.png
how many dotted lines are there?,2,55700259001525.png
which country is represented by the red color line?,Venezuela,56488196003790.png
how many colors are appear in the bar graph?,5,70543716002173.png
which country shows an all-time low and almost straight line in its data?,Spain,75123496007329.png
which country is represented in the given line graph?,Lesotho,86276368010166.png
which color is norway data?,Red,87189810001857.png
how many color bars are shown in the graph?,3,94518590002246.png
what is the red line represents?,Share of women who prefer a male boss,96881713000165.png
what is the pink bar represents ??,Bulgaria,97187864005448.png
what is the approximate value of the first point that starts the bulgaria line?,575,97187864005448.png
how many colored bars are used in the graph?,4,1125.png
what's the median value of gray bars?,14,1125.png
is the smallest value of all the bars 8?,No,116.png
what's the product of median and largest value of gray bar?,598,116.png
what's the lowest value of green bar?,0.03,1179.png
how manu blue bars with the value below 70?,2,1179.png
is the sum of lowest value of green and blue bar greater than largest value of gray bar?,No,1210.png
what's the lowest value of the navy blue bar?,28,1336.png
what's the ratio of the lowest value of yellow bar and navy blue bar (in a:b)?,0.218055556,1336.png
what's the value of the rightmost bar in 2020?,8,1347.png
what'e the ratio of low/very low bars in 2020 and 2019?,0.085416667,1347.png
is the average of all the bars in germany greater than largest value of green bar?,No,1350.png
what's the percentage value of green bar in total category?,33,1358.png
what's the median value of the first three blue bar from bottom?,54,1358.png
"what's the median value of ""a fair amount"" bars?",40,1364.png
what's the least value of gray bar?,8,1419.png
what's the average of the two largest value of gray bar?,27,1419.png
how many blue color shades are used to represent the graph?,3,576.png
what's the product of the median and the smallest value of navy blue bar?,154,576.png
what's the value of the yellow bar in new york?,25,657.png
is the median equal to the smallest bar?,No,657.png
what's the value of blue bar for 50+ age group?,24,941.png
is the sum of the two largest value of green bar smaller than 100?,No,941.png
is the 18-29 age group bars have the darkest color?,Yes,1766.png
what's the value of the 30-49 age group bar that is the same as two news channels?,22,1766.png
what's the value of the bar in jan 2008?,78,2191.png
what's the sum of the median of all the bars and the average of the two smallest bar?,87,2191.png
are there only three colors used to represent the graph?,Yes,2336.png
"what's the difference between averages of all the bars in 18-29 and the largest bar in the ""all adults"" category?",8,2336.png
what's the value of the first minor reason bar from the top?,24,2558.png
what's the product of medians of major reason bars and minor reason bars?,564,2558.png
is the color of bar green whose value is 56% in the suecia category?,Yes,2661.png
what's the ratio of green bar occurrences with values 28 and 23?,0.043055556,2661.png
is the color of rarely opinion bars light blue?,Yes,2902.png
"take the average of all the light blue bars and the median of light green bars, what's the average of these two values?",33.375,2902.png
what's the value of the largest bar?,70,3655.png
is the value of yellow bars increasing from top to bottom?,Yes,3655.png
what do the blue bars represent?,Less important,3785.png
"what is the average of all the more important bars, not including the median?",0.495,3785.png
"what is the average of all the 'as important' bars, not including the median?",0.371,3787.png
is the median of all the american bars greater than the largest green bar?, No,3894.png
what's the value of a navy blue bar?,78,4090.png
"is the median of the ""support"" bar greater than the largest ""oppose"" bar?",Yes,4090.png
what's the value of the first rightmost bar from the bottom?,4,4286.png
add all the gray bars whose values are below 10?,9,4286.png
how many colors are used to represent the graph?,4,4138.png
is the median of strongly approve bars greater than the median of strongly disapprove bars?,No,4138.png
what's the largest value of the purple bar?,72,5258.png
is the value of purple bars always greater than yellow bars?,Yes,5258.png
what's the value of the leftmost upper bar?,56,3958.png
is the average of green bars equal to two times of smallest blue bar?,Yes,3958.png
which two bars are exactly similar to each other?,"[Medical research, Engineering and technology]",5137.png
is the median value of green bars equals 19?,Yes,5137.png
what's the sum of all the bars above 50?,164,4349.png
is the total of all the green bars greater than 180?,Yes,5280.png
what is the value of the longest blue bar??,0.55,5953.png
what's the value of the topmost longest bar?,56,6080.png
how much is the rightmost bar values greater than the leftmost largest bar value?,5,6080.png
what is the net value of the 1st bar?,17,7032.png
what is the value of the lowest green bar??,3,7326.png
how many colors are in the bar??,2,7503.png
what's the value of the elected officials bar?,25,7574.png
what's the average of the two smallest bar?,25.5,7574.png
what is the smallest value in the bars??,28,7598.png
how many colors are represented in the bar??,3,8435.png
what is the value of the smallest green bar??,35,8827.png
what is the value of the third-longest yellow bar??,77,8846.png
what is the difference between the highest yellow bar and the lowest green bar??,89,8846.png
what's the ratio of the second smallest bar and second-largest bar?,0.877777778,8873.png
how many bars have a value equals to 55?,2,9120.png
what's the ratio (a: b) of the first brown bar from the top and the smallest yellow bar?,2.71875,9344.png
how many colors of bars are shown,2,9432.png
what represents the dark yellow bar in the chart??,Not too/at all well,9592.png
what's the average of the two smallest light yellow bar??,32,9592.png
is the average of all the total bars equals to the average of all the democrat bars?,Yes,9599.png
is the value of the first two orange bars from the bottom equal?,Yes,9809.png
what represents the two bars in the chart?,"[Turkey, Estonia]",OECD_ALCOHOL_CONSUMPTION_CHL_EST_TUR_000000.png
what is the average of the two bars?,5.75,OECD_ALCOHOL_CONSUMPTION_CHL_EST_TUR_000000.png
what is the value of the purple bar?,22.8,OECD_FDI_INCOME_RECEIPTS_BY_PARTNER_COUNTRY_CHE_CHL_EST_ITA_NZL_000006.png
what is the value of the highest bar?,61.3,OECD_FDI_STOCKS_CAN_CHE_ISL_USA_000006.png
how many color does the graph shows?,2,OECD_FOREIGN-BORN_EMPLOYMENT_FIN_MEX_000012.png
what's the value of smallest bar?,7.1,OECD_FOREST_RESOURCES_CHL_CZE_HUN_LUX_TUR_000015.png
does largest bar value is two times the value of smallest bar?,No,OECD_FOREST_RESOURCES_CHL_CZE_HUN_LUX_TUR_000015.png
how many bar are there in the graph?,4,OECD_GENERAL_GOVERNMENT_DEBT_BEL_ESP_ISR_PRT_USA_000022.png
what does the purple bar represent?,Spain,OECD_GOVERNMENT_RESEARCHERS_CHN_ESP_KOR_POL_PRT_000007.png
what color is the larger bar?,purple,OECD_LONG-TERM_UNEMPLOYMENT_RATE_CRI_EST_LUX_000014.png
what's the ratio of two bars?,0.48708,OECD_LONG-TERM_UNEMPLOYMENT_RATE_CRI_EST_LUX_000014.png
what's the value of longest bar?,519,OECD_MATHEMATICS_PERFORMANCE_(PISA)_IDN_MAC_NLD_SGP_000000.png
what is the sum value of both the bars?,898,OECD_MATHEMATICS_PERFORMANCE_(PISA)_IDN_MAC_NLD_SGP_000000.png
what's the color germany bar?,Red,OECD_MUNICIPAL_WASTE_DEU_FIN_000009.png
which country has the largest bar?,Colombia,OECD_UNEMPLOYMENT_RATE_BY_AGE_GROUP_AUS_CAN_CHL_COL_FIN_000002.png
does the difference of largest and 2nd largest bar value is greater then the value of smallest bar?,No,OECD_UNEMPLOYMENT_RATE_BY_AGE_GROUP_AUS_CAN_CHL_COL_FIN_000002.png
which value is represented by yellow color?,No confidence,10129.png
what is leftmost color of each bar?,orange,10733.png
which value is represented by yellow color?,Right decision,10744.png
which republican has the highest blue bar?,Bobby Jindal,10893.png
what is the median of all the bars?,616.85,86398352001580.png
which category shown in grey bar?,Female,87453827004907.png
which age group is represented by the pink color?,70+ years old,87563418009479.png
is the difference of orange and grey bar more then 2?,Yes,87897560003131.png
what country is represented by the purple bar?,Uruguay,94158138010288.png
which country is represented by the brown color bar?,Central African Republic,96980063004330.png
which event is represented by violet color bar?,Tornado,98750751007222.png
which country data shown in green color?,Peru,OECD_CRUDE_OIL_PRODUCTION_JPN_LVA_MNG_PER_PRY_000113.png
which country is represented by the red color line in the given graph?,United States,OECD_EMPLOYMENT_RATE_PRT_USA_000093.png
which country is represented by blue line?,Latvia,OECD_ENVIRONMENTAL_TAX_CAN_LVA_POL_000044.png
which country does the blue line represent?,Latvia,OECD_FDI_INCOME_RECEIPTS_BY_INDUSTRY_AUT_LVA_000018.png
at how many points did the lines representing ireland and sweden crossed each other?,1,OECD_FOREIGN-BORN_UNEMPLOYMENT_IRL_NZL_SVK_SWE_USA_000028.png
how many colours are appear in the bar graph?,3,OECD_LONG-TERM_INTEREST_RATES_FORECAST_BEL_DEU_IND_POL_000066.png
which country is represented by blue color line?,Portugal,OECD_PHARMACEUTICAL_SPENDING_CAN_PRT_000070.png
which country is represented by the blue color line?,Chile,OECD_SOCIAL_SECURITY_CONTRIBUTIONS_CHE_CHL_GBR_HUN_SVK_000133.png
"at how many point , the lines representing hungary and slovak republic crosses each other?",4,OECD_SOCIAL_SECURITY_CONTRIBUTIONS_CHE_CHL_GBR_HUN_SVK_000133.png
is the color of the leftmost bar gray?,Yes,two_col_61708.png
is the sum of the leftmost two bars greater than the largest bar?,Yes,two_col_61708.png
what's the value of largest bar?,3.52,two_col_62353.png
how many bars are shorter than the bar with a 1.88 value?,3,two_col_62353.png
how many bars are above 5000?,2,two_col_62359.png
which segment is less than 1/3 of the light blue segment?,red,two_col_62366.png
what's the ratio of red segment and largest segment of pie?,0.444444444,two_col_80813.png
what does the 3% bar represent?,Don't know/ refused,two_col_81973.png
what is the third longest bar value?,Alkermes,two_col_82082.png
which color does right wing indicate?,Blue,two_col_82294.png
what is the value of the highest bar?,71074,two_col_100108.png
what is the total of the blue bars?,72771,two_col_100108.png
which colored segment forms a right angle?,blue,two_col_102203.png
what is the colour of wholesale in pie segment?,blue,two_col_103074.png
how many segments are there?,4,two_col_103242.png
what is the colour of yes in pie segment?,Light Blue,two_col_103981.png
what is the difference in yes and no in pie segment ?,28,two_col_103981.png
the line graph starts from what value?,0,two_col_104252.png
what is the color of the dominating segment?,blue,two_col_104272.png
what is the average of the tallest and the shortest blue bars?,531139.5,two_col_2544.png
which year the blue line bar crossed 40 value ??,2018,two_col_20145.png
which year has a drastic decline in number of airbus aircraft?,2020,two_col_21570.png
what is the lowest value in blue bar ??,1.2,two_col_5902.png
what is the difference between the highest and lowest bar??,3.5,two_col_5902.png
what is the value of the middle bar?,26,two_col_22701.png
which color occupies more in the pie chart ?,light blue,two_col_23088.png
what is the difference between the two colors?,3.2,two_col_23088.png
what is the maximum value of bar graph?,56,two_col_23267.png
which segment has a highest revnue share?,Leather goods & saddlery,two_col_23860.png
how many bars is above 5 ?,4,two_col_24294.png
which year the blue bar shows 2.5 ?,2013,two_col_40235.png
what value is the second leftmost bar?,21.1,two_col_24555.png
what is the product of the values represented by the bars?,11.5,two_col_40260.png
which category represents the median value bar?,Total,two_col_24265.png
what colored segment is the second largest?,navy blue,two_col_41999.png
how many different colored segments are there in the pie chart?,10,two_col_42166.png
what is the average of all the blue bars?,5.06,two_col_43104.png
how much times is the blue segment area over the navy blue one?,4,two_col_43460.png
what was the highest percentage on the black line?,44,multi_col_281.png
what was the lowest attribute of the red bar?,41,multi_col_282.png
"analysis the grey bar and find the largest percentage and smallest percentage, add them and divide by 2, what is that number ?",26.5,multi_col_100383.png
what does the grey segments represent on this graph?,Retail,multi_col_100423.png
is the median value of light blue bars equal to 64?,Yes,multi_col_100637.png
how many colors are used to represent the bar chart?,3,multi_col_100908.png
what is the median value of all the gray bars?,57,multi_col_100908.png
which colored line always stay in the middle,Blue,multi_col_101111.png
is the grey bar always shorter than the dark blue bar across all the years?,Yes,multi_col_20011.png
the shortest light blue bar minus the tallest grey bar yields what value?,137.61,multi_col_20018.png
what is the highest value of blue bar?,73,multi_col_20093.png
which year has the minimum difference between light blue bar and dark blue bar?,White,multi_col_20093.png
what is the value of the leftmost light bar?,8876,multi_col_20095.png
what is the maximum value of blue bar?,8,multi_col_20392.png
what is the difference between the maximum value of red bar and minimum value of blue bar?,27,multi_col_20392.png
what does the red color stand for ?,Impossible,multi_col_20513.png
what is the highest percentage in blue bar ?,8.58,multi_col_20570.png
what is the blue bar average value of 2018 and  2019 ?,6.78,multi_col_20570.png
what is the percentage of highest blue bar ?,11,multi_col_20683.png
what is value of the highest percentage bar in dark blue ?,8.1,multi_col_20683.png
what is value of the highest bar?,34785,multi_col_20693.png
in which quarter does the difference between the baseline and the pessimistic scenario the least?,Q4 '20,multi_col_20929.png
what is the value of the combined bar in 2014 ?,3.08,multi_col_20947.png
what is the difference between blue bar from  2019 to 2018 ?,0.04,multi_col_20947.png
what is the value of the highest dark blue bar?,57,multi_col_40023.png
what is the sum of highest value and lowest value of light blue bar?,29,multi_col_40023.png
what meat does red color indicate?,Lamb and mutton,multi_col_40047.png
the shortest light blue bar minus the tallest dark blue bar yields what value?,0,multi_col_40074.png
the shortest light blue bar minus the tallest dark blue bar yields what value?,28,multi_col_40076.png
what is the maximum value of navy blue bar across all regions?,43,multi_col_40097.png
the shortest light blue bar minus the tallest dark blue bar yields what value?,-46500,multi_col_40193.png
what is the difference between the highest and the lowest bar value of netflix?,43000,multi_col_40193.png
the shortest light blue bar minus the tallest dark blue bar yields what value?,1.25,multi_col_40250.png
which color bar has the highest share of users?,yellow,multi_col_40343.png
the shortest light blue bar minus the tallest dark blue bar yields what value?,210.5,multi_col_40519.png
what color bar recorded the highest value in the chart?,navy blue,multi_col_40545.png
what does the color red indicate?,2016,multi_col_40584.png
what does the light blue color indicate?,Domestic,multi_col_40619.png
which bar is below 8%?,red,multi_col_40794.png
what is the highest value in the red bar?,75.2,multi_col_40805.png
what is the average of all the bars in the women?,44.12,multi_col_40805.png
what is value of the highest bar in the chart?,81,multi_col_40915.png
how many bars in the chart below 40 %?,8,multi_col_40915.png
what does the light blue color indicate?,Male,multi_col_40946.png
which is the lowest percentage value in the blue line chart?,21,multi_col_40975.png
what is the difference between highest value and lowest value in black line?,6,multi_col_40975.png
what is the lowest value in blue bar line?,78.21,multi_col_60003.png
what is the sum of first and last data in black line?,146.68,multi_col_60003.png
what is the highest value of navy blue bar over the years?,35.9,multi_col_60030.png
what is the average of of all blue bar in the chart?,67.73,multi_col_60046.png
what is the sum of 1st and last bar in the chart?,184.2,multi_col_60144.png
what is the lowest value in blue bar?,0.07,multi_col_60145.png
what is the average of 1st highest value and 3rd highest value in blue bar?,5.65,multi_col_60145.png
what is the highest value of navy blue bar over the years?,370787,multi_col_60166.png
what does the light blue bar indicate?,Leisure travel spending,multi_col_60182.png
what is value indicated by grey bar in investment?,4.03,multi_col_60227.png
what is the percentage value of green bar?,2,multi_col_60339.png
