Input,Output,ImageName
"what's the difference between averages of all the bars in 18-29 and the largest bar in the ""all adults"" category?",8,2336.png
what is the difference between major reasons and minor reasons seen as fun??,0.16,5953.png
what is the total sum of college+ for unfavorable and favorable,100,7598.png
what was the difference between the total of all the groups� responses?,0.29,9580.png
is the average of all the total bars equals to the average of all the democrat bars?,Yes,9599.png
what is the total sum of fdi stocks in canada and ireland?,120.6,OECD_FDI_STOCKS_CAN_CHE_ISL_USA_000006.png
which leader got the maximum difference between confidence and no confidence?,Abe,10129.png
what is the difference between the maximum and minimum anxiety disorders rate over the different age groups?,414.14,87563418009479.png
is the difference of orange and grey bar more then 2?,Yes,87897560003131.png
what is the difference between the average age of the russian population between the years 1990 and 2019?,5.1,two_col_60813.png
what is the total percentage of decreased and increased?,30,two_col_83449.png
does the number of marriages increase or decrease?,decreasing,two_col_100326.png
in which year the average number of employees working in h&m were minimum?,2005,two_col_1271.png
what is the difference between the maximum average number of employees working in h&m in an year and the minimum average number of employees working in an year?,91762,two_col_1271.png
what is the sum total of canada and others countries targeted rate by bec scams,24.5,two_col_4782.png
what is the percentage difference between minimum and maximum time for which the people waited at the airport?,40,two_col_20850.png
"is the average net sales share of jewelry collections, engagement jewelry and designer jewelry less than 30?",No,two_col_22701.png
what is the percentage difference between maximum and minimum frequency usage of internet in us?,55,two_col_23267.png
what is the difference between the maximum sales share and the average sales share?,9.8,two_col_24555.png
what is the sum of the lowest  amount wagered on counter-strike and its average across all years?,5.95,two_col_40260.png
does the traffic increase/decrease?,decreasing,two_col_60285.png
"in which age group, the difference between the votes received by hillary clinton and donald trump was maximum?",18 to 24 years,multi_col_204.png
what is the difference between highest increase and decrease percentage ?,3,multi_col_100568.png
what year showed an increase in total average birth weight even though the average boy birth weight decreased,2017,multi_col_101111.png
what's the total average for agriculture and industry for econmoic sector in 2020,65.69,multi_col_1304.png
what is the difference between maximum share of micron and minimum share of sony over the years?,34.8,multi_col_844.png
in which age group the difference between the number of male and female visitors is minimum?,16-24,multi_col_849.png
what is the difference between maximum gdp in agriculture sector and minimum gdp in industry over the years?,21.91,multi_col_960.png
what the sum total breakdown in the year 2019 in manufacturing and services ?,580.26,multi_col_1501.png
what is the average between 15-64 years population and the difference between 65 years and older and 0-14 years in 2019?,34.815,multi_col_20011.png
which year has the minimum difference between light blue bar and dark blue bar?,White,multi_col_20093.png
what is the difference between the maximum percentage share and the minimum percentage share in 10-14 years?,17,multi_col_20251.png
what is the difference between the maximum and minimum threshold for herd immunity for smallpox as of 2013?,2,multi_col_20268.png
what is the difference between the maximum value of red bar and minimum value of blue bar?,27,multi_col_20392.png
what is the difference between the maximum value of dietary supplements in 2015 and the minimum value of dietary supplements in 2020?,5.05,multi_col_20458.png
what is the average of total market?,267,multi_col_20618.png
which product has the minimum difference between the amount of skin products used by male and female?,At-home skin device,multi_col_20891.png
what is the difference between the domestic and total market in 2019?,5,multi_col_20962.png
in which age group the difference between trim and do nothing is maximum?,65+,multi_col_21134.png
what is the difference between maximum and minimum consumption of beef?,4.6,multi_col_40047.png
in which year the difference between revenues of retail and wholesale is maximum?,2019,multi_col_60166.png
what is the difference between sum of all investments and development?,0.65,multi_col_60227.png
what is the sum (total male and female) of air force?,63902,multi_col_60850.png
which year has the maximum difference between the age categories?,2017/18,multi_col_60956.png
what is the sum total of all the country in the year 2015?,52.9,multi_col_80291.png
in which year the increase of the blue line value compared to the previous year was maximum?,2020,multi_col_83.png
